Sub Group,Profession,Role,Name,Account,WepSet1_1,WepSet1_2,WepSet2_1,WepSet2_2,Boss DPS,Boss DMG,Boss Power DPS,Boss Power DMG,Boss Condi DPS,Boss Condi DMG,All DPS,All DMG,All Power DPS,All Power DMG,All Condi DPS,All Condi DMG,Times Downed,Time Died
2,Soulbeast,Condi:10,Lvid,lvid.8574,Shortbow,2Hand,Axe,Torch,13448,3007567,2580,577109,10868,2430458,17100,3824335,3894,870887,13206,2953448,1,0
2,Daredevil,,Jerso,pitius.8603,Staff,2Hand,Staff,2Hand,12885,2881611,12651,2829318,234,52293,19694,4404375,19395,4337498,299,66877,1,0
2,Renegade,Concentration:10,Lady Eryel,Erniebg.1859,Sword,Sword,Unknown,Unknown,5669,1267800,5401,1207979,267,59821,6991,1563421,6638,1484441,353,78980,1,0
2,Catalyst,,Medivh El Blanco,BlackBull.6249,Hammer,2Hand,Unknown,Unknown,11352,2538820,10314,2306588,1038,232232,17498,3913374,16156,3613121,1343,300253,1,0
2,Firebrand,Concentration:10 Healing:10,Astrid Laudóttir,Lesha.9607,Axe,Shield,Staff,2Hand,1292,288972,1011,226001,282,62971,2763,617980,2126,475554,637,142426,0,0
3,Mechanist,,Deadly Gasai Yuno,Fabio no.4796,Mace,Shield,Unknown,Unknown,9721,2174093,8971,2006382,750,167711,14304,3198970,13354,2986498,950,212472,0,0
3,Druid,Concentration:10 Healing:10,Nádrea,Starlom.1324,Staff,2Hand,Axe,Warhorn,1226,274110,785,175634,440,98476,1662,371591,1081,241812,580,129779,0,0
3,Scourge,Condi:10,Alice Greenthorn,CrambzZ.4892,Scepter,Torch,Scepter,Unknown,17226,3852466,1782,398450,15444,3454016,25128,5619628,3026,676662,22102,4942966,0,0
3,Firebrand,Condi:10,Amournath,razer.8147,Axe,Torch,Scepter,Torch,13364,2988756,2208,493703,11156,2495053,20694,4628079,3689,825099,17005,3802980,0,0
3,Berserker,,Alsrroum,Ten Mel.4812,Axe,Axe,Unknown,Unknown,10212,2283912,10008,2238246,204,45666,13992,3129288,13717,3067714,275,61574,0,0
2,Berserker,,Alsrroum,Ten Mel.4812,Axe,Axe,Unknown,Unknown,10587,2508897,10440,2473924,148,34973,14733,3491402,14504,3437073,229,54329,0,0
2,Soulbeast,,Chatton Des Neiges,Addriane.7869,Dagger,Axe,Longbow,2Hand,7931,1879365,7407,1755138,524,124227,9985,2366087,9342,2213697,643,152390,1,1
2,Mechanist,Concentration:10 Healing:10 Toughness:10,Deadly Gasai Yuno,Fabio no.4796,Mace,Shield,Unknown,Unknown,2860,677628,2476,586745,384,90883,4863,1152373,4325,1025022,537,127351,0,0
2,Catalyst,,Theo Slayer,Leo.4071,Unknown,Unknown,Hammer,2Hand,13431,3182768,12405,2939579,1026,243189,18672,4424766,17275,4093608,1397,331158,0,0
2,Scourge,Condi:10,Alice Greenthorn,CrambzZ.4892,Scepter,Torch,Unknown,Unknown,16591,3931624,1524,361080,15067,3570544,25442,6028932,2606,617450,22836,5411482,0,0
3,Druid,Concentration:10 Healing:10,Nádrea,Starlom.1324,Staff,2Hand,Axe,Warhorn,1002,237409,728,172466,274,64943,1588,376408,1109,262879,479,113529,0,0
3,Catalyst,,Medivh El Blanco,BlackBull.6249,Hammer,2Hand,Unknown,Unknown,11717,2776572,10699,2535459,1017,241113,18122,4294481,16621,3938675,1501,355806,1,0
3,Harbinger,Condi:10,Blaise Soulslaver,BONILLA.7295,Pistol,Dagger,Scepter,Dagger,9110,2158793,1546,366288,7564,1792505,12175,2885184,2311,547543,9865,2337641,0,0
3,Soulbeast,,Lêshä,Lesha.9607,Dagger,Axe,Longbow,2Hand,12009,2845799,11720,2777409,289,68390,16434,3894286,15989,3788958,444,105328,1,0
3,Renegade,Concentration:10,Lady Eryel,Erniebg.1859,Sword,Sword,Unknown,Unknown,5834,1382564,5559,1317323,275,65241,8354,1979700,7969,1888538,385,91162,0,0
2,Firebrand,Condi:10,Ky Zalys,Kylar.5098,Axe,Torch,Scepter,Torch,14238,2778195,2191,427567,12047,2350628,21250,4146358,3567,695980,17683,3450378,0,0
2,Daredevil,Condi:10,Rapiffa,Zygfryd.8346,Dagger,Dagger,Shortbow,2Hand,13544,2642670,1764,344189,11780,2298481,18066,3525185,3069,598737,14998,2926448,0,0
2,Firebrand,Concentration:10 Healing:10,Old Bald Man,NutsCed.7382,Axe,Shield,Staff,2Hand,1887,368133,1364,266098,523,102035,3819,745156,2739,534456,1080,210700,0,0
2,Mechanist,Concentration:10,Yltris,Taubi.1790,Mace,Shield,Unknown,Unknown,8891,1734785,8018,1564496,873,170289,13371,2609075,12253,2390822,1119,218253,0,0
2,Berserker,Condi:10,Hellkus Galactikus,Hellkus.9305,Sword,Torch,Longbow,2Hand,13631,2659760,1647,321338,11984,2338422,16441,3208100,2731,532856,13711,2675244,0,0
3,Mechanist,Concentration:10 Healing:10 Toughness:10,Deadly Gasai Yuno,Fabio no.4796,Mace,Shield,Unknown,Unknown,2813,548921,2477,483370,336,65551,4826,941618,4328,844516,498,97102,0,0
3,Scrapper,,Pétrole Lette,Minilette.7084,Hammer,2Hand,Unknown,Unknown,11479,2239724,11043,2154815,435,84909,17446,3404082,16855,3288840,591,115242,0,0
3,Mirage,Condi:10,Gennosuke Saiki,Tommy shelby.2149,Axe,Pistol,Axe,Torch,10134,1977367,1463,285485,8671,1691882,12907,2518464,2263,441629,10644,2076835,0,0
3,Mechanist,Condi:10,Fruity Engi,angryelf.9412,Mace,Pistol,Mace,Pistol,16405,3200964,6017,1174003,10388,2026961,24774,4833934,9639,1880762,15135,2953172,0,0
3,Virtuoso,,Chiraa Miralis,chiraox.5769,Dagger,Sword,Dagger,Focus,16504,3220213,5110,997164,11393,2223049,23329,4552100,7778,1517696,15551,3034404,0,0
2,Druid,Concentration:10 Healing:10,Arceso Wild Caress,Arceso.8749,Axe,Warhorn,Staff,2Hand,2110,470730,1335,297898,775,172832,3350,747391,2252,502453,1098,244938,0,0
