,group,account,names,profession,phase_1_dps,phase_2_dps,phase_3_dps
0,2,okay.8319,Runya Yúcale,Firebrand,2759.2,2151.0,1665.29
1,2,warmeens.5169,Wilson Strongheart,Willbender,8250.72,10498.76,8336.81
2,2,Lujan.1865,Kuroko Itsuki,Virtuoso,23198.34,17379.78,11669.3
3,2,Segylos.2861,Giga Stonks,Scrapper,34095.42,32866.86,34187.95
4,2,MudSnapper.1249,Snäbäri Lumoaa,Virtuoso,18091.85,18397.24,23965.8
5,3,Mates Le Kroasan.5970,Guard Cookie Dough,Firebrand,21835.28,20645.7,17732.8
6,3,mintay.7120,Explosive Mintay,Mechanist,31058.87,37266.11,37881.89
7,3,WVlad.1243,Blodesoul,Mechanist,36750.29,32796.54,33067.9
8,3,YamYam.4369,Yamengi,Mechanist,27400.59,27983.62,24161.56
9,3,Klirik.6591,Senorita Mechanicus,Mechanist,6765.01,5772.49,1385.36
