,group,account,names,profession,phase_1_dps,phase_2_dps,phase_3_dps,phase_4_dps,phase_5_dps,phase_6_dps
0,2,CrusaderCody.6935,Banner Of Kodi,Bladesworn,40275.97,35114.19,36399.7,19990.42,20528.56,20446.61
1,2,cleatuslemonweinersixtynine.9206,Alt Deaxon,Berserker,31794.57,33890.27,34035.69,25426.18,13803.66,17283.17
2,2,Blink.7940,Firey Plant,Tempest,2775.0,2553.08,1017.5,1998.85,833.7,989.34
3,2,Bully.1045,Nls Guardian,Firebrand,17302.73,16786.75,13889.45,5277.67,2929.81,4837.67
4,2,Feint.5912,Feint Fate,Virtuoso,27084.95,27225.51,27940.57,16811.97,11897.5,14712.44
5,3,Razor.9305,Mai Umbra,Deadeye,26666.73,28122.63,21750.89,18492.73,2256.81,10336.57
6,3,Valentine.9732,Wonderburger,Virtuoso,33227.82,33430.35,33611.88,17259.33,13441.2,14396.04
7,3,Angel.6925,Lhang Fhieng,Deadeye,15389.31,13651.54,17315.76,8855.67,4182.18,8549.0
8,3,WahaBoy.6893,Wahôm,Scrapper,21475.47,19708.39,18570.57,11315.82,8523.33,1.12
9,3,TheNakriin.8617,Tiberia Stahlrad,Mechanist,6510.17,6152.01,5139.56,4209.73,3756.81,3540.72
