,group,account,names,profession,phase_1_dps,phase_2_dps,phase_3_dps
0,1,Kirill.7604,Mayor Of Mech Town,Mechanist,27026.07,19791.51,26790.07
1,1,maraika.4253,Dr Maraika,Firebrand,15046.73,11304.05,18567.24
2,1,CuddleBunny.6852,Felicity Gearstrike,Mechanist,3522.03,2455.95,2761.09
3,1,FlamingOven.6508,What Did I Do,Mechanist,26972.87,19399.19,28642.93
4,1,sizigia.9687,Jyusa,Mechanist,26303.83,20993.56,28664.68
5,2,kowolo.7619,Big Fat Engi,Mechanist,27408.27,18716.02,29004.04
6,2,Chase.4150,Sanctify Wrath,Firebrand,8850.27,5435.8,9648.54
7,2,BHamlyn.2601,Falx Lightsplitter,Mechanist,16080.13,12469.73,16926.46
8,2,BabyMochi.5678,Mochii Mesmer,Mechanist,23011.0,20200.4,24818.94
9,2,Devyyx.7465,Devyyxgineer,Mechanist,21222.4,15494.44,23782.04
